ror_id,count,display_name
03vek6s52,372,Harvard University
02vjkv261,369,Inserm
034t30j35,291,Chinese Academy of Sciences
036rp1748,275,Universidade de São Paulo
00jmfr291,223,University of Michigan–Ann Arbor
046rm7j60,212,"University of California, Los Angeles"
03dbr7087,199,University of Toronto
00b30xv10,182,University of Pennsylvania
01cwqze88,172,National Institutes of Health
057zh3y96,165,The University of Tokyo
02y3ad647,164,University of Florida
0168r3w48,163,"University of California, San Diego"
00za53h95,159,Johns Hopkins University
00f54p054,156,Stanford University
00rs6vg23,156,The Ohio State University
00cvxb145,155,University of Washington
05f950310,155,KU Leuven
043mz5j54,152,"University of California, San Francisco"
01y2jtd41,149,University of Wisconsin–Madison
00hj8s172,147,Columbia University
0220qvk04,147,Shanghai Jiao Tong University
0130frc33,144,University of North Carolina at Chapel Hill
05rrcem69,141,"University of California, Davis"
052gg0110,138,University of Oxford
02jx3x895,137,University College London
047426m28,137,University of Illinois Urbana-Champaign
041kmwe10,137,Imperial College London
01pxwe438,135,McGill University
04b6nzv94,132,Brigham and Women's Hospital
03v76x132,131,Yale University
03rmrcq20,130,University of British Columbia
035b05819,129,University of Copenhagen
03taz7m60,128,University of Southern California
002pd6e78,128,Massachusetts General Hospital
017zqws13,126,University of Minnesota
05bnh6r87,125,Cornell University
00a2xv884,124,Zhejiang University
00rqy9422,124,University of Queensland
01ej9dk98,123,University of Melbourne
03cqe8w59,123,Consejo Nacional de Investigaciones Científicas y Técnicas
04p491231,122,Pennsylvania State University
05vt9qd57,122,"Rutgers, The State University of New Jersey"
02be6w209,122,Sapienza University of Rome
0220mzb33,122,King's College London
01an7q238,118,"University of California, Berkeley"
01tmp8f25,117,Universidad Nacional Autónoma de México
01an3r305,116,University of Pittsburgh
0190ak572,114,New York University
000e0be47,110,Northwestern University
001w7jn25,110,Charité - Universitätsmedizin Berlin
035t8zc32,109,Osaka University
013meh722,108,University of Cambridge
05f82e368,108,Université Paris Cité
0384j8v12,108,The University of Sydney
056d84691,108,Karolinska Institutet
024mw5h28,105,University of Chicago
05qwgg493,105,Boston University
